"","observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species","TSN"
"330","Neogobius melanostomus","Neogobius melanostomus","species","Gobie à taches noires","Animalia","Chordata","Teleostei","Perciformes","Gobiidae","Neogobius","Neogobius melanostomus",172072
"331","Lota lota","Lota lota","species","Lotte","Animalia","Chordata","Teleostei","Gadiformes","Lotidae","Lota","Lota lota",164725
"332","Prosopium cylindraceum","Prosopium cylindraceum","species","Ménomini rond","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Prosopium","Prosopium cylindraceum",162008
"333","Oncorhynchus mykiss","Oncorhynchus mykiss","species","Truite arc-en-ciel","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss",161989
"334","Lepomis macrochirus","Lepomis","genus","","Animalia","Chordata","Teleostei","Perciformes","Centrarchidae","Lepomis","Lepomis macrochirus",168141
"335","Moxostoma carinatum","Moxostoma carinatum","species","Chevalier de rivière","Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma carinatum",163936
"336","Moxostoma valenciennesi","Moxostoma valenciennesi","species","Chevalier jaune","Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma valenciennesi",163947
"337","Oncorhynchus tshawytscha","Oncorhynchus tshawytscha","species","Saumon chinook","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus tshawytscha",161980
"338","Salvelinus namaycush","Salvelinus namaycush","species","Touladi","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus namaycush",162002
"339","Coregonus clupeaformis","Coregonus clupeaformis","species","Grand corégone","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Coregonus","Coregonus clupeaformis",161941
"340","Percina caprodes","Percina caprodes","species","Fouille-roche zébré","Animalia","Chordata","Teleostei","Perciformes","Percidae","Percina","Percina caprodes",168472
"341","Etheostoma nigrum","Etheostoma nigrum","species","","Animalia","Chordata","Teleostei","Perciformes","Percidae","Etheostoma","Etheostoma nigrum",168369
"342","Carassius auratus","Carassius auratus","species","Carassin","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Carassius","Carassius auratus",163350
"343","Ictiobus cyprinellus","Ictiobus cyprinellus","species","","Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Ictiobus","Ictiobus cyprinellus",163956
"344","Notropis atherinoides","Notropis atherinoides","species","Méné émeraude","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Notropis","Notropis atherinoides",163412
"345","Semotilus corporalis","Semotilus corporalis","species","Ouitouche","Animalia","Chordata","Teleostei","Cypriniformes","Leuciscidae","Semotilus","Semotilus corporalis",163375
"346","Labidesthes sicculus","Labidesthes sicculus","species","Crayon d'argent","Animalia","Chordata","Teleostei","Atheriniformes","Atherinopsidae","Labidesthes","Labidesthes sicculus",166016
"347","Canis latrans","Canis latrans","species","Coyote","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis latrans",180599
"348","Thunnus thynnus","Thunnus thynnus","species","Thon rouge","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Thunnus","Thunnus thynnus",172421
"349","Hydrobates leucorhous","Hydrobates","genus","Pétrel cul-blanc","Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae","Hydrobates","Oceanodroma leucorhoa",174628
"350","Alca torda","Alca torda","species","Petit pingouin","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Alca","Alca torda",176971
"351","Leucoraja garmani","Leucoraja garmani","species","Raie rosette","Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Leucoraja","Leucoraja garmani",564136
"352","Rostroraja eglanteria","Rostroraja","genus","","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Raja eglanteria",160855
"353","Micropogonias undulatus","Micropogonias undulatus","species","Tambour brésilien","Animalia","Chordata","Teleostei","Perciformes","Sciaenidae","Micropogonias","Micropogonias undulatus",169283
"354","Morone saxatilis","Morone saxatilis","species","Bar rayé","Animalia","Chordata","Teleostei","Perciformes","Moronidae","Morone","Morone saxatilis",167680
"355","Cynoscion regalis","Cynoscion regalis","species","Acoupa royal","Animalia","Chordata","Teleostei","Perciformes","Sciaenidae","Cynoscion","Cynoscion regalis",169241
"356","Fundulus diaphanus","Fundulus diaphanus","species","Fondule barré","Animalia","Chordata","Teleostei","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus diaphanus",165646
"357","Ammodytes americanus","Ammodytes americanus","species","Lançon d'amérique","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes americanus",171673
"358","Stenotomus chrysops","Stenotomus chrysops","species","Spare doré","Animalia","Chordata","Teleostei","Perciformes","Sparidae","Stenotomus","Stenotomus chrysops",169182
"359","Lopholatilus chamaeleonticeps","Lopholatilus chamaeleonticeps","species","Tile chameau","Animalia","Chordata","Teleostei","Perciformes","Malacanthidae","Lopholatilus","Lopholatilus chamaeleonticeps",168546
"360","Centropristis striata","Centropristis striata","species","Fanfre noir","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Centropristis","Centropristis striata",167687
"361","Sebastes fasciatus","Sebastes fasciatus","species","Sébaste acadien","Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes fasciatus",166774
"362","Pomatomus saltatrix","Pomatomus saltatrix","species","Coupe-fil","Animalia","Chordata","Teleostei","Perciformes","Pomatomidae","Pomatomus","Pomatomus saltatrix",168559
"363","Pantherophis obsoletus","Pantherophis obsoletus","species","Serpent-ratier noir","Animalia","Chordata","Squamata","Squamata","Colubridae","Pantherophis","Pantherophis obsoletus",1081826
"364","Pantherophis obsoletus obsoleta","Pantherophis obsoletus","species","Serpent-ratier noir","Animalia","Chordata","Squamata","Squamata","Colubridae","Pantherophis","Pantherophis obsoletus",1081826
"365","Procyon lotor","Procyon lotor","species","Raton laveur","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Procyon","Procyon lotor",180575
"366","Clemmys insculpta","Glyptemys insculpta","species","Tortue des bois","Animalia","Chordata","Testudines","Testudines","Emydidae","Glyptemys","Glyptemys insculpta",668669
"367","Pseudacris maculata","Pseudacris maculata","species","Rainette faux-grillon boréale","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris maculata",207312
"368","Eptesicus fuscus","Eptesicus fuscus","species","Grande chauve-souris brune","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Eptesicus","Eptesicus fuscus",180008
"369","Lasiurus borealis","Lasiurus borealis","species","Chauve-souris rousse","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Lasiurus","Lasiurus borealis",180016
"370","Lasiurus cinereus","Aeorestes cinereus","species","Chauve-souris cendrée","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Aeorestes","Aeorestes cinereus",1157324
"371","Prionace glauca","Prionace glauca","species","Requin bleu","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace","Prionace glauca",160424
"372","Lepisosteus oculatus","Lepisosteus oculatus","species","Lépisosté tacheté","Animalia","Chordata","Holostei","Lepisosteiformes","Lepisosteidae","Lepisosteus","Lepisosteus oculatus",161095
"373","Odobenus rosmarus rosmarus","Odobenus rosmarus rosmarus","subspecies","","Animalia","Chordata","Mammalia","Carnivora","Odobenidae","Odobenus","Odobenus rosmarus",180639
"374","Tamias minimus","Tamias minimus","species","Tamia mineur","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias minimus",180144
"375","Mustela erminea","Mustela erminea","species","Hermine","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela","Mustela erminea",180555
"376","Lepomis gulosus","Lepomis gulosus","species","Crapet sac-à-lait","Animalia","Chordata","Teleostei","Perciformes","Centrarchidae","Lepomis","Lepomis gulosus",168138
"377","Noturus gyrinus","Noturus gyrinus","species","Chat-fou brun","Animalia","Chordata","Teleostei","Siluriformes","Ictaluridae","Noturus","Noturus gyrinus",164003
"378","Ameiurus natalis","Ameiurus natalis","species","Barbotte jaune","Animalia","Chordata","Teleostei","Siluriformes","Ictaluridae","Ameiurus","Ameiurus natalis",164041
"379","Ameiurus melas","Ameiurus melas","species","Barbotte noire","Animalia","Chordata","Teleostei","Siluriformes","Ictaluridae","Ameiurus","Ameiurus melas",164039
"380","Pimephales notatus","Pimephales notatus","species","Ventre-pourri","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Pimephales","Pimephales notatus",163516
"381","Umbra limi","Umbra limi","species","Umbre de vase","Animalia","Chordata","Teleostei","Esociformes","Umbridae","Umbra","Umbra limi",162152
"382","Esox americanus","Esox americanus","species","Brochet d'amérique","Animalia","Chordata","Teleostei","Esociformes","Esocidae","Esox","Esox americanus",162140
"383","Myoxocephalus thompsonii","Myoxocephalus thompsonii","species","","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus thompsonii",167323
"384","Gasterosteus wheatlandi","Gasterosteus","genus","","Animalia","Chordata","Teleostei","Gasterosteiformes","Gasterosteidae","Gasterosteus","Gasterosteus wheatlandi",166385
"385","Myoxocephalus aenaeus","Myoxocephalus aenaeus","species","Chaboisseau bronzé","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus aenaeus",167321
"386","Pungitius pungitius","Pungitius pungitius","species","Épinoche à neuf épines","Animalia","Chordata","Teleostei","Gasterosteiformes","Gasterosteidae","Pungitius","Pungitius pungitius",166387
"387","Syngnathus fuscus","Syngnathus fuscus","species","Syngnathe brun","Animalia","Chordata","Teleostei","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus fuscus",166451
"388","Salvelinus fontinalis","Salvelinus fontinalis","species","Omble aurora","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis",162003
"389","Stenella coeruleoalba","Stenella coeruleoalba","species","Dauphin bleu et blanc","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Stenella","Stenella coeruleoalba",180434
"390","Delphinus delphis","Delphinus delphis","species","Bec d'oie","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Delphinus","Delphinus delphis",180438
"391","Lagenorhynchus acutus","Lagenorhynchus acutus","species","Dauphin à flancs blancs","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Lagenorhynchus","Lagenorhynchus acutus",180443
"392","Globicephala melas","Globicephala melas","species","Globicéphale noir de l'atlantique","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Globicephala","Globicephala melas",552461
"393","Mesoplodon bidens","Mesoplodon bidens","species","Baleine à bec de sowerby","Animalia","Chordata","Mammalia","Cetacea","Hyperoodontidae","Mesoplodon","Mesoplodon bidens",180515
"394","Strix varia","Strix varia","species","Chouette rayée","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix varia",177921
"395","Aegolius acadicus","Aegolius acadicus","species","Petite nyctale","Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius","Aegolius acadicus",177942
"396","Asio flammeus","Asio flammeus","species","Hibou des marais","Animalia","Chordata","Aves","Strigiformes","Strigidae","Asio","Asio flammeus",177935
"397","Bubo virginianus","Bubo virginianus","species","Grand-duc d'amérique","Animalia","Chordata","Aves","Strigiformes","Strigidae","Bubo","Bubo virginianus",177884
"398","Aegolius funereus","Aegolius funereus","species","Nyctale de tengmalm","Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius","Aegolius funereus",177938
"399","Asio otus","Asio otus","species","Hibou moyen-duc","Animalia","Chordata","Aves","Strigiformes","Strigidae","Asio","Asio otus",177932
"400","Cyprinodon variegatus variegatus","Cyprinodon variegatus","species","","Animalia","Chordata","","Cyprinodontiformes","Cyprinodontidae","Cyprinodon","Cyprinodon variegatus",165631
"401","Cyprinodon variegatus","Cyprinodon variegatus","species","Pétote","Animalia","Chordata","Teleostei","Cyprinodontiformes","Cyprinodontidae","Cyprinodon","Cyprinodon variegatus",165631
"402","Fundulus heteroclitus heteroclitus","Fundulus heteroclitus","species","","Animalia","Chordata","","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus",165647
