"","observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species","TSN"
"96","Zapus hudsonius","Zapus hudsonius","species","Souris sauteuse des champs","Animalia","Chordata","Mammalia","Rodentia","Dipodidae","Zapus","Zapus hudsonius",180386
"97","Phoca vitulina","Phoca vitulina","species","Phoque commun","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina",180643
"98","Erethizon dorsata","Erethizon dorsatus","species","","Animalia","Chordata","Mammalia","Rodentia","Erethizontidae","Erethizon","Erethizon dorsatus",825295
"99","Pekania pennanti","Pekania pennanti","species","Pékan","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Pekania","Pekania pennanti",1086061
"100","Peromyscus maniculatus","Peromyscus maniculatus","species","Souris sylvestre","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus maniculatus",180276
"101","Tamias striatus","Tamias striatus","species","Tamia rayé","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias striatus",180207
"102","Myodes gapperi","Myodes gapperi","species","Campagnol de gapper","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Myodes","Myodes gapperi",970612
"103","Anser caerulescens","Anser caerulescens","species","Oie des neiges","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser caerulescens",175029
"104","Anser caerulescens caerulescens","Anser caerulescens caerulescens","subspecies","","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser caerulescens",175029
"105","Histrionicus histrionicus","Histrionicus histrionicus","species","Arlequin plongeur","Animalia","Chordata","Aves","Anseriformes","Anatidae","Histrionicus","Histrionicus histrionicus",175149
"106","Chelydra serpentina","Chelydra serpentina","species","Chélydre serpentine","Animalia","Chordata","Testudines","Testudines","Chelydridae","Chelydra","Chelydra serpentina",173752
"107","Bathyraja spinicauda","Bathyraja spinicauda","species","Raie à queue épineuse","Animalia","Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja spinicauda",160932
"108","Sternotherus odoratus","Sternotherus odoratus","species","","Animalia","Chordata","Reptilia","Testudines","Kinosternidae","Sternotherus","Sternotherus odoratus",173758
"109","Chrysemys picta","Chrysemys picta","species","Tortue peinte","Animalia","Chordata","Testudines","Testudines","Emydidae","Chrysemys","Chrysemys picta",173783
"110","Graptemys geographica","Graptemys","genus","Tortue géographique","Animalia","Chordata","Reptilia","Testudines","Emydidae","Graptemys","Graptemys geographica",173794
"111","Emydoidea blandingii","Emydoidea blandingii","species","Tortue mouchetée","Animalia","Chordata","Reptilia","Testudines","Emydidae","Emys","Emydoidea blandingii",173789
"112","Merluccius albidus","Merluccius albidus","species","Merlu","Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius albidus",164793
"113","Citharichthys arctifrons","Citharichthys arctifrons","species","Plie du gulf stream","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys arctifrons",172719
"114","Leucoraja erinacea","Leucoraja erinacea","species","Raie-hérisson","Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Leucoraja","Leucoraja erinacea",564130
"115","Paralichthys oblongus","Paralichthys oblongus","species","Cardeau à quatre ocelles","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Hippoglossina","Hippoglossina oblonga",172783
"116","Notacanthus chemnitzii","Notacanthus chemnitzii","species","","Animalia","Chordata","Teleostei","Notacanthiformes","Notacanthidae","Notacanthus","Notacanthus chemnitzii",161690
"117","Ardenna grisea","Puffinus griseus","species","Puffin fuligineux","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus griseus",174553
"118","Gadus macrocephalus","Gadus macrocephalus","species","Morue du Pacifique","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus macrocephalus",164711
"119","Chlorophthalmus agassizi","Chlorophthalmus agassizi","species","Éperlan du large","Animalia","Chordata","Teleostei","Aulopiformes","Chlorophthalmidae","Chlorophthalmus","Chlorophthalmus agassizi",162430
"120","Helicolenus dactylopterus","Helicolenus dactylopterus","species","Rascasse du fond","Animalia","Chordata","Teleostei","Scorpaeniformes","Sebastidae","Helicolenus","Helicolenus dactylopterus",166787
"121","Synaphobranchus kaupii","Synaphobranchus kaupii","species","","Animalia","Chordata","Teleostei","Anguilliformes","Synaphobranchidae","Synaphobranchus","Synaphobranchus kaupii",635794
"122","Trachyrincus murrayi","Trachyrincus murrayi","species","Grenadier-scie","Animalia","Chordata","Teleostei","Gadiformes","Macrouridae","Trachyrincus","Trachyrincus murrayi",165419
"123","Argentina silus","Argentina silus","species","Grande argentine","Animalia","Chordata","Teleostei","Osmeriformes","Argentinidae","Argentina","Argentina silus",162064
"124","Urophycis chuss","Urophycis chuss","species","Merluche-écureuil","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Urophycis","Urophycis chuss",164730
"125","Simenchelys parasitica","Simenchelys parasitica","species","Anguille a nez court","Animalia","Chordata","Teleostei","Anguilliformes","Synaphobranchidae","Simenchelys","Simenchelys parasitica",161594
"126","Uria aalge","Uria aalge","species","Guillemot marmette","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Uria","Uria aalge",176974
"127","Antimora rostrata","Antimora rostrata","species","Antimore bleu","Animalia","Chordata","Teleostei","Gadiformes","Moridae","Antimora","Antimora rostrata",164672
"128","Anaxyrus fowleri","Anaxyrus fowleri","species","","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus fowleri",773520
